id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss,loss,date
98,29706,26,2,12,1157,relu,0.596079433,0.203503354,512,1,0.02,1e-12,False,relative_key_query,True,0.19232,1720.5823799099744,330.9024033042863,7.45041810546875,2021-04-09 03:05:32.502581
99,16084,61,1,3,1041,gelu,0.264598216,0.218123648,512,1,0.02,1e-12,False,relative_key_query,True,0.110528,979.79477811491,108.29475723548477,6.887343139648437,2021-04-09 03:23:45.546158
100,7699,11,3,2,1480,silu,0.5744514270000001,0.4422889,512,1,0.02,1e-12,False,relative_key_query,True,0.112795,2750.0165719246415,310.18811923024003,7.919362216796875,2021-04-09 03:48:17.371587
101,25454,16,10,14,1417,gelu_new,0.12668259,0.54248873,512,1,0.02,1e-12,False,relative_key_query,True,0.606668,2370.5033087055,1438.1085012857484,7.770857578125,2021-04-09 05:45:07.210974
102,22371,55,4,1,794,relu,0.134338682,0.13815111800000002,512,1,0.02,1e-12,False,relative_key_query,True,0.211127,1429.1115860907892,301.72404183659006,7.26480826171875,2021-04-09 06:32:13.727277
103,22083,2,1,8,618,silu,0.721644664,0.10021536,512,1,0.02,1e-12,False,relative_key_query,True,0.068311,2813.391136124271,192.18556189978503,7.942145844726562,2021-04-09 06:45:58.874839
104,344,90,4,5,1951,relu,0.631703531,0.94687449,512,1,0.02,1e-12,False,absolute,True,0.34470300000000004,2462.213534609601,848.7323920205334,7.80881603515625,2021-04-09 07:48:23.125370
105,1107,7,6,16,4,gelu_new,0.7137751520000001,0.34077144200000004,512,1,0.02,1e-12,False,relative_key_query,True,0.374487,1878.4306439521204,703.4478565616977,7.538191943359375,2021-04-09 09:06:11.315516
106,18433,54,2,3,922,gelu,0.157731455,0.354798596,512,1,0.02,1e-12,False,relative_key_query,True,0.14435,811.463671732097,117.13478101452822,6.698839619140625,2021-04-09 09:30:39.581824
107,24817,29,2,10,731,relu,0.518378315,0.261301496,512,1,0.02,1e-12,False,relative_key_query,True,0.181783,1001.8282016679456,182.11533598380416,6.909581811523437,2021-04-09 09:59:02.086929
