id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,actual_hidden_size,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss
116,27021,5,3,15,75,2553,relu,0.619795432,0.759038507,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.778655,149.4258077,265.77696
117,11561,49,6,16,784,60,gelu,0.325618181,0.111785407,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,6.553731,18.2871751,119.8492264
118,18592,39,2,7,273,1348,gelu,0.379006884,0.630673363,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.999256,30.82111478,61.61929865
119,2653,44,1,4,176,919,gelu,0.320409034,0.337783839,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.175674,61.35029625,72.12794819
120,30334,4,1,16,64,408,relu,0.353621861,0.199900222,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.939072,141.4717429,132.8521525
122,26465,10,3,7,70,536,gelu_new,0.235153699,0.70231397,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.599535,59.72197242,95.52738515
124,27677,31,1,12,372,570,gelu,0.509836373,0.478741262,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.651782,93.7939167,154.9271033
125,21317,45,2,5,225,1648,gelu,0.258993868,0.337838582,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.827775,26.88853533,49.14619266
126,25792,53,3,17,901,173,gelu,0.487574921,0.436302864,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,4.089306,25.15357416,102.8606617
127,18021,87,1,6,522,1124,gelu,0.152024438,0.359252876,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.137183,22.94041036,49.02785503
128,9813,63,6,6,378,14,silu,0.603121031,0.367289029,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.845832,35.40666219,136.1680745
129,22760,48,3,1,48,800,gelu_new,0.129409427,0.527121045,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.18321,81.99842174,97.02135259
130,25127,28,2,17,476,2061,relu,0.560587365,0.312820999,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.581966,42.16118453,108.858745
131,18441,52,2,3,156,922,gelu,0.406975527,0.364800977,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.171925,56.46381554,66.17135703
132,19917,36,1,16,576,609,gelu,0.458276212,0.24104412,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,2.110226,35.76965828,75.48206291
133,6848,37,4,12,444,3038,gelu_new,0.162386735,0.227951564,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,4.52023,13.12737835,59.33876944
135,3662,23,1,14,322,862,gelu,0.506817603,0.351162064,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.585997,58.42827888,92.66707502
136,23510,27,2,9,243,1179,gelu,0.175542388,0.130649128,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.854669,19.3888857,35.95996525
137,26207,12,8,15,180,502,gelu,0.389978535,0.35279731,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,5.564655,25.66684292,142.8271258
138,30499,25,3,6,150,623,gelu,0.438127125,0.778863109,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.461185,168.8313014,246.6937651
139,13561,24,1,1,24,342,silu,0.297983695,0.38783038,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.78328,473.1441032,370.6043132
141,27197,3,10,15,45,166,silu,0.355907586,0.828286734,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,4.229266,97.76826152,413.4879843
142,21145,14,3,4,56,1079,silu,0.101586594,0.514779339,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.103416,59.51926252,65.67450657
143,24442,5,7,13,65,1210,gelu,0.165202876,0.282303157,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.368389,42.67443376,143.7440933
144,26913,48,1,7,336,269,silu,0.329837346,0.157877579,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.3008,39.58301056,51.48958014
145,16400,72,6,5,360,967,gelu,0.771927203,0.37205152,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,3.418847,87.89122761,300.4866598
146,14176,54,4,2,108,1016,silu,0.108533173,0.504482297,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.958122,28.94796766,56.68365233
147,28040,42,1,8,336,522,silu,0.21728662,0.397885925,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.282888,30.43216171,39.04105507
148,30362,75,1,16,1200,429,relu,0.34877713,0.295822609,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.43436,24.74194546,84.97274781
150,14370,19,5,8,152,1065,gelu_new,0.291440887,0.327187809,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.578685,43.9916569,69.44896887
151,25094,16,10,17,272,2548,relu,0.442303356,0.669619103,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,5.429023,31.24002,169.6027871
152,26451,21,2,11,231,524,silu,0.376878299,0.240249391,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.43873,64.86446895,93.32245741
153,22077,17,1,14,238,442,silu,0.115148608,0.130981683,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.2285,37.08824229,45.56290565
