id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss,loss,date
61,30159,19,12,1,418,silu,0.3637634466,0.2094319895,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.507942,1559.407797,2351.496513,7.352061411,14:57.0
62,19936,44,4,4,1152,gelu,0.1005390594,0.294839074,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.703669,306.2070834,215.4684322,5.724261616,30:48.9
63,17829,46,3,8,916,silu,0.3127538479,0.3781380706,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.78541,2197.501102,1725.939341,7.695076131,28:26.8
64,6215,92,7,9,1571,gelu_new,0.7879604241,0.455656686,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.600508,2294.365749,3672.150735,7.738211722,18:41.9
65,18938,20,5,1,932,gelu,0.6996936716,0.7349768106,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.538261,2480.406623,1335.106149,7.816177786,31:19.5
66,20336,39,1,8,2488,silu,0.2835832894,0.5672655403,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.378863,948.6445301,359.4063126,6.855034155,37:38.8
67,15637,18,4,6,1564,relu,0.143968671,0.2249113311,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.618699,370.4218412,229.1796227,5.914642467,08:37.5
68,22968,2,2,9,1240,gelu_new,0.9919942118,0.3106503592,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.244784,2475.550287,605.9751013,7.814217988,24:25.4
69,15862,13,3,12,2979,silu,0.4745024923,0.5444916663,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.617502,1040.464172,642.4887072,6.947422212,54:00.1
70,12972,47,7,7,45,silu,0.2705263028,0.1954728677,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.176164,472.7829674,556.070306,6.15863644,18:04.5
71,30310,3,1,16,855,relu,0.351575084,0.1727343119,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.20831,790.0232134,164.5697356,6.672062329,33:38.1
72,16937,30,2,3,2614,gelu_new,0.4503719874,0.1105829524,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.299654,1214.388028,363.8962302,7.101995549,29:54.0
73,25890,1,8,13,315,relu,0.4668302907,0.1601277834,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.067025,1838.047469,1961.242601,7.516459129,56:17.3
74,17661,34,9,10,160,gelu_new,0.315920967,0.4339724587,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,1.284599,2218.610761,2850.025165,7.704636496,09:11.1
75,28612,34,3,13,285,gelu,0.2205677401,0.2218333466,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.01951,541.603131,552.1698081,6.294533503,40:24.1
76,10794,70,5,5,1790,silu,0.6042043006,0.8951895014,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.090658,2306.146989,2515.217663,7.743333441,27:04.9
77,12430,48,2,7,112,relu,0.5588466591,0.1275797755,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.493313,521.5438852,257.2843787,6.256793423,09:32.1
78,23692,1,2,9,1264,relu,0.8801035209,0.3090991759,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,0.271743,2512.756033,682.8238627,7.829135451,54:10.8
79,16960,32,5,7,1099,relu,0.229187797,0.5805990131,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.646724,2172.484124,1404.997623,7.683626549,55:59.7
80,23956,51,3,1,945,relu,0.3925550744,0.5100070768,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.486092,832.0492774,404.4524973,6.723891667,20:42.5
81,23004,5,1,11,496,relu,0.3312254061,0.4660983437,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.263615,761.5342114,200.7518411,6.635335098,33:15.1
82,9348,77,7,7,1321,gelu,0.1933492641,0.116533454,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.624542,2266.015735,3681.237734,7.725778385,08:30.8
83,20743,50,12,15,657,gelu,0.4799300387,0.37829724,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,3.446158,2285.485541,7876.14428,7.734333771,04:04.7
84,15327,55,2,3,813,gelu,0.2058332251,0.1988019287,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.47544,345.6385326,164.3303839,5.845393525,25:32.5
85,24010,14,3,14,1972,relu,0.4922066272,0.6038475699,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.631311,714.1704331,450.8636503,6.571121636,49:36.2
86,19767,53,1,7,650,gelu,0.2440575051,0.1779767993,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.57713,854.0911337,492.921616,6.750037902,57:22.9
87,10429,43,5,8,1432,silu,0.1536174624,0.8871931675,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,1.35764,2259.446821,3067.515382,7.722875293,55:50.1
88,22016,17,1,14,236,silu,0.1107835338,0.1300562555,512,1,0.02,1.00E-12,FALSE,absolute,TRUE,0.375112,706.0512421,264.8482935,6.559687816,39:04.3
89,8144,71,3,2,440,gelu,0.2879932692,0.3873140365,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.629942,384.9548995,242.4992593,5.953126183,40:59.8
90,20580,42,11,5,2169,gelu,0.2519219224,0.3562374043,512,1,0.02,1.00E-12,FALSE,relative_key,TRUE,1.828564,2341.259637,4281.143088,7.75844437,26:48.6
91,19331,20,2,10,135,relu,0.4494345157,0.3043896322,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.504179,438.7028914,221.1847851,6.083822399,29:15.2
92,18745,15,3,7,494,gelu_new,0.1843244967,0.2630950264,512,1,0.02,1.00E-12,FALSE,relative_key_query,TRUE,0.540155,357.0718963,192.8741701,5.877937152,32:51.0
